"season" "episode" "imdb_rating" "total_votes" "air_date"
"1" "1" 1 7.6 3706 2005-03-24
"2" "1" 2 8.3 3566 2005-03-29
"3" "1" 3 7.9 2983 2005-04-05
"4" "1" 4 8.1 2886 2005-04-12
"5" "1" 5 8.4 3179 2005-04-19
"6" "1" 6 7.8 2852 2005-04-26
"7" "2" 1 8.7 3213 2005-09-20
"8" "2" 2 8.2 2736 2005-09-27
"9" "2" 3 8.4 2742 2005-10-04
"10" "2" 4 8.4 2713 2005-10-11
"11" "2" 5 8.2 2561 2005-10-18
"12" "2" 6 8.2 2550 2005-11-01
"13" "2" 7 8.6 2631 2005-11-08
"14" "2" 8 8.2 2416 2005-11-15
"15" "2" 9 8.4 2527 2005-11-22
"16" "2" 10 8.8 2755 2005-12-06
"17" "2" 11 8.6 2679 2006-01-05
"18" "2" 12 9 3282 2006-01-12
"19" "2" 13 8.3 2363 2006-01-19
"20" "2" 14 7.9 2342 2006-01-26
"21" "2" 15 8.2 2323 2006-02-02
"22" "2" 16 8.3 2345 2006-02-09
"23" "2" 17 8.4 2463 2006-03-02
"24" "2" 18 8.3 2415 2006-03-16
"25" "2" 19 8.1 2337 2006-03-30
"26" "2" 20 8.4 2397 2006-04-27
"27" "2" 21 8.7 2440 2006-05-04
"28" "2" 22 9.3 3644 2006-05-11
"29" "3" 1 8.9 3087 2006-09-21
"30" "3" 2 8.2 2275 2006-09-28
"31" "3" 3 8.5 2388 2006-10-05
"32" "3" 4 8 2311 2006-10-12
"33" "3" 5 8.2 2254 2006-10-19
"34" "3" 6 8 2320 2006-11-02
"35" "3" 7 8.5 2260 2006-11-09
"36" "3" 8 8.7 2376 2006-11-16
"37" "3" 9 8.2 2373 2006-11-30
"38" "3" 10 8.7 2541 2006-12-14
"39" "3" 11 8.5 2255 2007-01-04
"40" "3" 12 8.6 2316 2007-01-11
"41" "3" 13 8.8 2430 2007-01-18
"42" "3" 14 8.2 2254 2007-02-01
"43" "3" 15 8.3 2283 2007-02-08
"44" "3" 16 8.8 2622 2007-02-15
"45" "3" 17 8.5 2264 2007-02-22
"46" "3" 18 8.9 2555 2007-04-05
"47" "3" 19 8.8 2424 2007-04-12
"48" "3" 20 8.7 2409 2007-04-26
"49" "3" 21 8.8 2403 2007-05-03
"50" "3" 22 9.1 2783 2007-05-10
"51" "3" 23 9.3 3010 2007-05-17
"52" "4" 1 8.8 2826 2007-09-27
"53" "4" 2 8.4 2248 2007-10-04
"54" "4" 3 8.5 2173 2007-10-11
"55" "4" 4 8.7 2341 2007-10-18
"56" "4" 5 8.8 2388 2007-10-25
"57" "4" 6 8.5 2185 2007-11-01
"58" "4" 7 8.3 2110 2007-11-08
"59" "4" 8 8.7 2202 2007-11-15
"60" "4" 9 9.3 4095 2008-04-10
"61" "4" 10 8.1 2095 2008-04-17
"62" "4" 11 8.7 2179 2008-04-24
"63" "4" 12 8.4 2087 2008-05-01
"64" "4" 13 7.9 1977 2008-05-08
"65" "4" 14 9.3 3010 2008-05-15
"66" "5" 1 8.8 2501 2008-09-25
"67" "5" 2 8.3 1990 2008-10-09
"68" "5" 3 8.1 1954 2008-10-16
"69" "5" 4 8.1 1884 2008-10-23
"70" "5" 5 8.1 1962 2008-10-30
"71" "5" 6 8.5 2018 2008-11-06
"72" "5" 7 8.2 1867 2008-11-13
"73" "5" 8 8.6 2089 2008-11-20
"74" "5" 9 8.7 2070 2008-12-04
"75" "5" 10 8.4 1951 2008-12-11
"76" "5" 11 8.7 2011 2009-01-15
"77" "5" 12 8.1 1954 2009-01-22
"78" "5" 13 9.6 5948 2009-02-01
"79" "5" 14 8.2 1838 2009-02-05
"80" "5" 15 8.2 1808 2009-02-12
"81" "5" 16 8.1 1847 2009-03-05
"82" "5" 17 8.7 1987 2009-03-12
"83" "5" 18 8.3 1875 2009-03-19
"84" "5" 19 8.4 1864 2009-03-26
"85" "5" 20 8.3 1863 2009-04-09
"86" "5" 21 8.7 2032 2009-04-09
"87" "5" 22 8.7 1913 2009-04-16
"88" "5" 23 9.1 2509 2009-04-23
"89" "5" 24 8.3 1845 2009-04-30
"90" "5" 25 8.7 2107 2009-05-07
"91" "5" 26 8.9 2232 2009-05-14
"92" "6" 1 8.7 2127 2009-09-17
"93" "6" 2 8.2 1755 2009-09-24
"94" "6" 3 8 1751 2009-10-01
"95" "6" 4 9.3 3579 2009-10-08
"96" "6" 5 9.3 1946 2009-10-08
"97" "6" 6 7.7 1829 2009-10-15
"98" "6" 7 8.6 1917 2009-10-22
"99" "6" 8 8.2 1739 2009-10-29
"100" "6" 9 8.2 1709 2009-11-05
"101" "6" 10 8.6 2016 2009-11-12
"102" "6" 11 8.2 1726 2009-11-19
"103" "6" 12 8.3 1981 2009-12-03
"104" "6" 13 8.5 1844 2009-12-10
"105" "6" 14 6.8 2288 2010-01-21
"106" "6" 15 7.8 1681 2010-02-04
"107" "6" 16 8.1 1670 2010-02-11
"108" "6" 17 8.4 1750 2010-03-04
"109" "6" 18 8.5 1769 2010-03-04
